environment,rep,variety,varietyname,plantnum,yield
Chokwe,1,5,IT-18,81,2960
Chokwe,1,1,UC-CB46,89,3022.2
Chokwe,1,2,IT69KD-901,11,524.4
Chokwe,1,12,INIA-152,100,4426.7
Chokwe,1,3,INIA-73,89,2648.9
Chokwe,1,4,UC-CB27,102,2302.2
Chokwe,1,8,INIA-41,88,2586.7
Chokwe,1,6,IT98K-1105-5,83,3084.4
Chokwe,1,10,IT-16,87,2915.6
Chokwe,1,7,IT00K-96,116,3644.4
Chokwe,1,11,IT98K-1111-1,60,2524.4
Chokwe,1,9,IT97K-284-4,81,2915.6
Chokwe,2,6,IT98K-1105-5,90,3075.6
Chokwe,2,4,UC-CB27,86,2435.6
Chokwe,2,8,INIA-41,64,2942.2
Chokwe,2,9,IT97K-284-4,88,3093.3
Chokwe,2,7,IT00K-96,110,2844.4
Chokwe,2,5,IT-18,88,3520
Chokwe,2,10,IT-16,101,2791.1
Chokwe,2,11,IT98K-1111-1,58,2142.2
Chokwe,2,1,UC-CB46,87,4168.9
Chokwe,2,12,INIA-152,83,3528.9
Chokwe,2,3,INIA-73,72,2906.7
Chokwe,2,2,IT69KD-901,11,408.9
Chokwe,3,6,IT98K-1105-5,110,3742.2
Chokwe,3,1,UC-CB46,103,3688.9
Chokwe,3,7,IT00K-96,113,3955.6
Chokwe,3,8,INIA-41,81,1804.4
Chokwe,3,11,IT98K-1111-1,64,2106.7
Chokwe,3,10,IT-16,115,3413.3
Chokwe,3,3,INIA-73,69,2720
Chokwe,3,4,UC-CB27,86,2728.9
Chokwe,3,9,IT97K-284-4,74,2506.7
Chokwe,3,5,IT-18,84,3084.4
Chokwe,3,2,IT69KD-901,76,533.3
Chokwe,3,12,INIA-152,104,3200
Chokwe,4,1,UC-CB46,104,3644.4
Chokwe,4,3,INIA-73,76,2133.3
Chokwe,4,6,IT98K-1105-5,92,3528.9
Chokwe,4,5,IT-18,95,3253.3
Chokwe,4,12,INIA-152,110,2506.7
Chokwe,4,11,IT98K-1111-1,59,2124.4
Chokwe,4,4,UC-CB27,89,2373.3
Chokwe,4,8,INIA-41,53,1591.1
Chokwe,4,7,IT00K-96,91,2977.8
Chokwe,4,10,IT-16,96,1751.1
Chokwe,4,2,IT69KD-901,6,78.2
Chokwe,4,9,IT97K-284-4,102,2924.4
Umbeluzi,1,5,IT-18,42,1573.3
Umbeluzi,1,4,UC-CB27,45,888.9
Umbeluzi,1,9,IT97K-284-4,25,702.2
Umbeluzi,1,8,INIA-41,54,1760
Umbeluzi,1,12,INIA-152,53,2302.2
Umbeluzi,1,7,IT00K-96,15,631.1
Umbeluzi,1,11,IT98K-1111-1,53,1475.6
Umbeluzi,1,10,IT-16,51,1795.6
Umbeluzi,1,1,UC-CB46,50,1653.3
Umbeluzi,1,2,IT69KD-901,17,488.9
Umbeluzi,1,6,IT98K-1105-5,58,2177.8
Umbeluzi,1,3,INIA-73,46,1155.6
Umbeluzi,2,6,IT98K-1105-5,65,2373.3
Umbeluzi,2,10,IT-16,54,1191.1
Umbeluzi,2,1,UC-CB46,59,2062.2
Umbeluzi,2,9,IT97K-284-4,31,960
Umbeluzi,2,2,IT69KD-901,14,337.8
Umbeluzi,2,11,IT98K-1111-1,50,1777.8
Umbeluzi,2,7,IT00K-96,18,1040
Umbeluzi,2,4,UC-CB27,49,1386.7
Umbeluzi,2,3,INIA-73,38,1404.4
Umbeluzi,2,5,IT-18,48,1742.2
Umbeluzi,2,8,INIA-41,51,2328.9
Umbeluzi,2,12,INIA-152,61,2906.7
Umbeluzi,3,6,IT98K-1105-5,67,2568.9
Umbeluzi,3,11,IT98K-1111-1,38,1235.6
Umbeluzi,3,4,UC-CB27,51,1680
Umbeluzi,3,7,IT00K-96,22,666.7
Umbeluzi,3,1,UC-CB46,39,1475.6
Umbeluzi,3,12,INIA-152,67,2266.7
Umbeluzi,3,5,IT-18,44,1377.8
Umbeluzi,3,8,INIA-41,49,1528.9
Umbeluzi,3,2,IT69KD-901,20,1075.6
Umbeluzi,3,10,IT-16,62,1688.9
Umbeluzi,3,3,INIA-73,45,1226.7
Umbeluzi,3,9,IT97K-284-4,50,1262.2
Umbeluzi,4,12,INIA-152,70,2142.2
Umbeluzi,4,2,IT69KD-901,19,515.6
Umbeluzi,4,1,UC-CB46,59,1733.3
Umbeluzi,4,8,INIA-41,57,1733.3
Umbeluzi,4,6,IT98K-1105-5,44,1484.4
Umbeluzi,4,5,IT-18,44,1084.4
Umbeluzi,4,7,IT00K-96,15,266.7
Umbeluzi,4,10,IT-16,43,1022.2
Umbeluzi,4,4,UC-CB27,53,1413.3
Umbeluzi,4,9,IT97K-284-4,30,337.8
Umbeluzi,4,11,IT98K-1111-1,36,800
Umbeluzi,4,3,INIA-73,49,1644.4
Nhacoongo,1,2,IT69KD-901,44,711.1
Nhacoongo,1,10,IT-16,51,631.1
Nhacoongo,1,1,UC-CB46,49,1244.4
Nhacoongo,1,8,INIA-41,18,373.3
Nhacoongo,1,5,IT-18,67,897.8
Nhacoongo,1,11,IT98K-1111-1,41,1022.2
Nhacoongo,1,7,IT00K-96,48,933.3
Nhacoongo,1,4,UC-CB27,17,355.6
Nhacoongo,1,12,INIA-152,68,933.3
Nhacoongo,1,9,IT97K-284-4,47,924.4
Nhacoongo,1,6,IT98K-1105-5,43,1333.3
Nhacoongo,1,3,INIA-73,43,933.3
Nhacoongo,2,1,UC-CB46,60,1244.4
Nhacoongo,2,12,INIA-152,71,808.9
Nhacoongo,2,11,IT98K-1111-1,40,640
Nhacoongo,2,8,INIA-41,31,577.8
Nhacoongo,2,4,UC-CB27,10,275.6
Nhacoongo,2,2,IT69KD-901,44,488.9
Nhacoongo,2,6,IT98K-1105-5,58,1342.2
Nhacoongo,2,9,IT97K-284-4,45,1128.9
Nhacoongo,2,10,IT-16,56,720
Nhacoongo,2,3,INIA-73,62,1066.7
Nhacoongo,2,5,IT-18,63,1146.7
Nhacoongo,2,7,IT00K-96,58,1040
Nhacoongo,3,6,IT98K-1105-5,45,1244.4
Nhacoongo,3,7,IT00K-96,44,1013.3
Nhacoongo,3,10,IT-16,60,1075.6
Nhacoongo,3,9,IT97K-284-4,57,1262.2
Nhacoongo,3,12,INIA-152,65,968.9
Nhacoongo,3,3,INIA-73,35,808.9
Nhacoongo,3,5,IT-18,62,1155.6
Nhacoongo,3,1,UC-CB46,44,1093.3
Nhacoongo,3,11,IT98K-1111-1,40,1013.3
Nhacoongo,3,8,INIA-41,23,1128.9
Nhacoongo,3,4,UC-CB27,30,604.4
Nhacoongo,3,2,IT69KD-901,36,515.6
Nhacoongo,4,9,IT97K-284-4,44,1164.4
Nhacoongo,4,1,UC-CB46,46,1333.3
Nhacoongo,4,6,IT98K-1105-5,54,1564.4
Nhacoongo,4,4,UC-CB27,35,853.3
Nhacoongo,4,8,INIA-41,19,684.4
Nhacoongo,4,11,IT98K-1111-1,21,1128.9
Nhacoongo,4,2,IT69KD-901,30,337.8
Nhacoongo,4,7,IT00K-96,35,1075.6
Nhacoongo,4,5,IT-18,57,1475.6
Nhacoongo,4,12,INIA-152,71,1431.1
Nhacoongo,4,10,IT-16,45,1395.6
Nhacoongo,4,3,INIA-73,39,1511.1
Macia_Machava,1,2,IT69KD-901,18,586.7
Macia_Machava,1,10,IT-16,32,933.3
Macia_Machava,1,1,UC-CB46,27,1333.3
Macia_Machava,1,8,INIA-41,29,1533.3
Macia_Machava,1,5,IT-18,30,1373.3
Macia_Machava,1,11,IT98K-1111-1,30,1373.3
Macia_Machava,1,7,IT00K-96,26,1466.7
Macia_Machava,1,4,UC-CB27,31,1293.3
Macia_Machava,1,12,INIA-152,30,1600
Macia_Machava,1,9,IT97K-284-4,25,1426.7
Macia_Machava,1,6,IT98K-1105-5,29,1240
Macia_Machava,1,3,INIA-73,30,986.7
Macia_Machava,2,1,UC-CB46,30,1320
Macia_Machava,2,12,INIA-152,32,1333.3
Macia_Machava,2,11,IT98K-1111-1,29,800
Macia_Machava,2,8,INIA-41,29,1626.7
Macia_Machava,2,4,UC-CB27,31,1306.7
Macia_Machava,2,2,IT69KD-901,15,413.3
Macia_Machava,2,6,IT98K-1105-5,25,1066.7
Macia_Machava,2,9,IT97K-284-4,34,960
Macia_Machava,2,10,IT-16,20,933.3
Macia_Machava,2,3,INIA-73,28,840
Macia_Machava,2,5,IT-18,25,1186.7
Macia_Machava,2,7,IT00K-96,25,1080
Macia_Machava,3,6,IT98K-1105-5,31,1280
Macia_Machava,3,7,IT00K-96,30,973.3
Macia_Machava,3,10,IT-16,27,893.3
Macia_Machava,3,9,IT97K-284-4,5,200
Macia_Machava,3,12,INIA-152,33,866.7
Macia_Machava,3,3,INIA-73,33,1186.7
Macia_Machava,3,5,IT-18,26,1200
Macia_Machava,3,1,UC-CB46,31,1306.7
Macia_Machava,3,11,IT98K-1111-1,27,1106.7
Macia_Machava,3,8,INIA-41,28,1800
Macia_Machava,3,4,UC-CB27,25,1240
Macia_Machava,3,2,IT69KD-901,24,1160
Macia_Machava,4,9,IT97K-284-4,4,160
Macia_Machava,4,1,UC-CB46,20,933.3
Macia_Machava,4,6,IT98K-1105-5,18,800
Macia_Machava,4,4,UC-CB27,18,800
Macia_Machava,4,8,INIA-41,31,1600
Macia_Machava,4,11,IT98K-1111-1,28,1200
Macia_Machava,4,2,IT69KD-901,21,640
Macia_Machava,4,7,IT00K-96,23,560
Macia_Machava,4,5,IT-18,26,1040
Macia_Machava,4,12,INIA-152,29,1240
Macia_Machava,4,10,IT-16,30,906.7
Macia_Machava,4,3,INIA-73,18,453.3
Macia_Adelino,1,2,IT69KD-901,13,346.7
Macia_Adelino,1,10,IT-16,30,920
Macia_Adelino,1,1,UC-CB46,29,1320
Macia_Adelino,1,8,INIA-41,30,1213.3
Macia_Adelino,1,5,IT-18,29,1200
Macia_Adelino,1,11,IT98K-1111-1,20,573.3
Macia_Adelino,1,7,IT00K-96,13,386.7
Macia_Adelino,1,4,UC-CB27,31,1226.7
Macia_Adelino,1,12,INIA-152,32,1280
Macia_Adelino,1,9,IT97K-284-4,19,866.7
Macia_Adelino,1,6,IT98K-1105-5,26,1093.3
Macia_Adelino,1,3,INIA-73,24,973.3
Macia_Adelino,2,1,UC-CB46,29,1080
Macia_Adelino,2,12,INIA-152,28,1346.7
Macia_Adelino,2,11,IT98K-1111-1,21,733.3
Macia_Adelino,2,8,INIA-41,30,1893.3
Macia_Adelino,2,4,UC-CB27,23,973.3
Macia_Adelino,2,2,IT69KD-901,6,160
Macia_Adelino,2,6,IT98K-1105-5,30,1146.7
Macia_Adelino,2,9,IT97K-284-4,13,480
Macia_Adelino,2,10,IT-16,29,813.3
Macia_Adelino,2,3,INIA-73,25,1080
Macia_Adelino,2,5,IT-18,25,760
Macia_Adelino,2,7,IT00K-96,19,893.3
Macia_Adelino,3,6,IT98K-1105-5,23,946.7
Macia_Adelino,3,7,IT00K-96,26,973.3
Macia_Adelino,3,10,IT-16,29,1000
Macia_Adelino,3,9,IT97K-284-4,21,920
Macia_Adelino,3,12,INIA-152,25,1133.3
Macia_Adelino,3,3,INIA-73,28,1053.3
Macia_Adelino,3,5,IT-18,26,1013.3
Macia_Adelino,3,1,UC-CB46,21,1026.7
Macia_Adelino,3,11,IT98K-1111-1,24,706.7
Macia_Adelino,3,8,INIA-41,25,1293.3
Macia_Adelino,3,4,UC-CB27,23,813.3
Macia_Adelino,3,2,IT69KD-901,25,1200
Macia_Adelino,4,1,UC-CB46,26,1226.7
Macia_Adelino,4,2,IT69KD-901,15,568.9
Macia_Adelino,4,3,INIA-73,26,1035.6
Macia_Adelino,4,4,UC-CB27,26,1004.4
Macia_Adelino,4,5,IT-18,27,991.1
Macia_Adelino,4,6,IT98K-1105-5,26,1062.2
Macia_Adelino,4,7,IT00K-96,19,751.1
Macia_Adelino,4,8,INIA-41,28,1466.7
Macia_Adelino,4,9,IT97K-284-4,18,755.6
Macia_Adelino,4,10,IT-16,29,911.1
Macia_Adelino,4,11,IT98K-1111-1,22,671.1
Macia_Adelino,4,12,INIA-152,28,1253.3
