order,environment,trial,rep,row,column,variety,varietyname,plantnum,yield
1,ChokweIrrigado,1,1,1,1,1,UC-CB46,66,3404.4
2,ChokweIrrigado,1,1,1,2,2,IT69KD-901,97,640
3,ChokweIrrigado,1,1,1,3,3,INIA-73,77,2515.6
4,ChokweIrrigado,1,1,2,3,4,UC-CB27,83,2844.4
5,ChokweIrrigado,1,1,2,2,5,IT-18,112,3040
6,ChokweIrrigado,1,1,2,1,6,IT98K-1105-5,106,2968.9
7,ChokweIrrigado,1,1,3,1,7,IT00K-96,127,3164.4
8,ChokweIrrigado,1,1,3,2,8,INIA-41,70,2960
9,ChokweIrrigado,1,1,3,3,9,IT97K-284-4,128,3377.8
10,ChokweIrrigado,1,1,4,3,10,IT-16,96,3137.8
11,ChokweIrrigado,1,1,4,2,11,IT98K-1111-1,61,2160
12,ChokweIrrigado,1,1,4,1,12,INIA-152,107,4026.7
13,ChokweIrrigado,1,2,1,1,7,IT00K-96,107,4151.1
14,ChokweIrrigado,1,2,1,2,1,UC-CB46,101,3537.8
15,ChokweIrrigado,1,2,1,3,8,INIA-41,95,2880
16,ChokweIrrigado,1,2,2,3,9,IT97K-284-4,141,2408.9
17,ChokweIrrigado,1,2,2,2,10,IT-16,100,2835.6
18,ChokweIrrigado,1,2,2,1,3,INIA-73,104,3368.9
19,ChokweIrrigado,1,2,3,1,12,INIA-152,121,3617.8
20,ChokweIrrigado,1,2,3,2,11,IT98K-1111-1,44,2177.8
21,ChokweIrrigado,1,2,3,3,6,IT98K-1105-5,104,2826.7
22,ChokweIrrigado,1,2,4,3,4,UC-CB27,104,2231.1
23,ChokweIrrigado,1,2,4,2,2,IT69KD-901,20,800
24,ChokweIrrigado,1,2,4,1,5,IT-18,81,4124.4
25,ChokweIrrigado,1,3,1,1,9,IT97K-284-4,88,3182.2
26,ChokweIrrigado,1,3,1,2,2,IT69KD-901,22,808.9
27,ChokweIrrigado,1,3,1,3,8,INIA-41,77,3164.4
28,ChokweIrrigado,1,3,2,3,11,IT98K-1111-1,79,1937.8
29,ChokweIrrigado,1,3,2,2,12,INIA-152,102,3413.3
30,ChokweIrrigado,1,3,2,1,4,UC-CB27,96,2568.9
31,ChokweIrrigado,1,3,3,1,5,IT-18,97,2408.9
32,ChokweIrrigado,1,3,3,2,7,IT00K-96,79,1146.7
33,ChokweIrrigado,1,3,3,3,1,UC-CB46,90,3537.8
34,ChokweIrrigado,1,3,4,3,10,IT-16,105,2675.6
35,ChokweIrrigado,1,3,4,2,6,IT98K-1105-5,97,3368.9
36,ChokweIrrigado,1,3,4,1,3,INIA-73,104,1991.1
37,ChokweIrrigado,1,4,1,1,6,IT98K-1105-5,106,3137.8
38,ChokweIrrigado,1,4,1,2,9,IT97K-284-4,89,2915.6
39,ChokweIrrigado,1,4,1,3,1,UC-CB46,105,4026.7
40,ChokweIrrigado,1,4,2,3,4,UC-CB27,110,2106.7
41,ChokweIrrigado,1,4,2,2,8,INIA-41,95,2133.3
42,ChokweIrrigado,1,4,2,1,10,IT-16,95,2311.1
43,ChokweIrrigado,1,4,3,1,11,IT98K-1111-1,66,1564.4
44,ChokweIrrigado,1,4,3,2,3,INIA-73,85,1635.6
45,ChokweIrrigado,1,4,3,3,7,IT00K-96,99,2568.9
46,ChokweIrrigado,1,4,4,3,5,IT-18,116,2506.7
47,ChokweIrrigado,1,4,4,2,12,INIA-152,97,2266.7
48,ChokweIrrigado,1,4,4,1,2,IT69KD-901,24,364.4
49,ChokweStressado,2,1,1,1,5,IT-18,81,2960
50,ChokweStressado,2,1,1,2,1,UC-CB46,89,3022.2
51,ChokweStressado,2,1,1,3,2,IT69KD-901,11,524.4
52,ChokweStressado,2,1,2,3,12,INIA-152,100,4426.7
53,ChokweStressado,2,1,2,2,3,INIA-73,89,2648.9
54,ChokweStressado,2,1,2,1,4,UC-CB27,102,2302.2
55,ChokweStressado,2,1,3,1,8,INIA-41,88,2586.7
56,ChokweStressado,2,1,3,2,6,IT98K-1105-5,83,3084.4
57,ChokweStressado,2,1,3,3,10,IT-16,87,2915.6
58,ChokweStressado,2,1,4,3,7,IT00K-96,116,3644.4
59,ChokweStressado,2,1,4,2,11,IT98K-1111-1,60,2524.4
60,ChokweStressado,2,1,4,1,9,IT97K-284-4,81,2915.6
61,ChokweStressado,2,2,1,1,6,IT98K-1105-5,90,3075.6
62,ChokweStressado,2,2,1,2,4,UC-CB27,86,2435.6
63,ChokweStressado,2,2,1,3,8,INIA-41,64,2942.2
64,ChokweStressado,2,2,2,3,9,IT97K-284-4,88,3093.3
65,ChokweStressado,2,2,2,2,7,IT00K-96,110,2844.4
66,ChokweStressado,2,2,2,1,5,IT-18,88,3520
67,ChokweStressado,2,2,3,1,10,IT-16,101,2791.1
68,ChokweStressado,2,2,3,2,11,IT98K-1111-1,58,2142.2
69,ChokweStressado,2,2,3,3,1,UC-CB46,87,4168.9
70,ChokweStressado,2,2,4,3,12,INIA-152,83,3528.9
71,ChokweStressado,2,2,4,2,3,INIA-73,72,2906.7
72,ChokweStressado,2,2,4,1,2,IT69KD-901,11,408.9
73,ChokweStressado,2,3,1,1,6,IT98K-1105-5,110,3742.2
74,ChokweStressado,2,3,1,2,1,UC-CB46,103,3688.9
75,ChokweStressado,2,3,1,3,7,IT00K-96,113,3955.6
76,ChokweStressado,2,3,2,3,8,INIA-41,81,1804.4
77,ChokweStressado,2,3,2,2,11,IT98K-1111-1,64,2106.7
78,ChokweStressado,2,3,2,1,10,IT-16,115,3413.3
79,ChokweStressado,2,3,3,1,3,INIA-73,69,2720
80,ChokweStressado,2,3,3,2,4,UC-CB27,86,2728.9
81,ChokweStressado,2,3,3,3,9,IT97K-284-4,74,2506.7
82,ChokweStressado,2,3,4,3,5,IT-18,84,3084.4
83,ChokweStressado,2,3,4,2,2,IT69KD-901,76,533.3
84,ChokweStressado,2,3,4,1,12,INIA-152,104,3200
85,ChokweStressado,2,4,1,1,1,UC-CB46,104,3644.4
86,ChokweStressado,2,4,1,2,3,INIA-73,76,2133.3
87,ChokweStressado,2,4,1,3,6,IT98K-1105-5,92,3528.9
88,ChokweStressado,2,4,2,3,5,IT-18,95,3253.3
89,ChokweStressado,2,4,2,2,12,INIA-152,110,2506.7
90,ChokweStressado,2,4,2,1,11,IT98K-1111-1,59,2124.4
91,ChokweStressado,2,4,3,1,4,UC-CB27,89,2373.3
92,ChokweStressado,2,4,3,2,8,INIA-41,53,1591.1
93,ChokweStressado,2,4,3,3,7,IT00K-96,91,2977.8
94,ChokweStressado,2,4,4,3,10,IT-16,96,1751.1
95,ChokweStressado,2,4,4,2,2,IT69KD-901,6,78.2
96,ChokweStressado,2,4,4,1,9,IT97K-284-4,102,2924.4
97,UmbeluziIrrigado,3,1,1,1,5,IT-18,33,1440
98,UmbeluziIrrigado,3,1,1,2,6,IT98K-1105-5,63,2408.9
99,UmbeluziIrrigado,3,1,1,3,2,IT69KD-901,20,746.7
100,UmbeluziIrrigado,3,1,2,3,8,INIA-41,57,1333.3
101,UmbeluziIrrigado,3,1,2,2,9,IT97K-284-4,26,1333.3
102,UmbeluziIrrigado,3,1,2,1,12,INIA-152,60,2648.9
103,UmbeluziIrrigado,3,1,3,1,10,IT-16,69,1795.6
104,UmbeluziIrrigado,3,1,3,2,11,IT98K-1111-1,43,2017.8
105,UmbeluziIrrigado,3,1,3,3,1,UC-CB46,60,2542.2
106,UmbeluziIrrigado,3,1,4,3,3,INIA-73,38,1680
107,UmbeluziIrrigado,3,1,4,2,4,UC-CB27,45,1351.1
108,UmbeluziIrrigado,3,1,4,1,7,IT00K-96,15,1671.1
109,UmbeluziIrrigado,3,2,1,1,10,IT-16,65,2248.9
110,UmbeluziIrrigado,3,2,1,2,5,IT-18,19,1057.8
111,UmbeluziIrrigado,3,2,1,3,11,IT98K-1111-1,49,1964.4
112,UmbeluziIrrigado,3,2,2,3,6,IT98K-1105-5,50,2613.3
113,UmbeluziIrrigado,3,2,2,2,4,UC-CB27,49,2000
114,UmbeluziIrrigado,3,2,2,1,12,INIA-152,69,2631.1
115,UmbeluziIrrigado,3,2,3,1,7,IT00K-96,23,1395.6
116,UmbeluziIrrigado,3,2,3,2,2,IT69KD-901,20,1742.2
117,UmbeluziIrrigado,3,2,3,3,3,INIA-73,43,1724.4
118,UmbeluziIrrigado,3,2,4,3,9,IT97K-284-4,28,817.8
119,UmbeluziIrrigado,3,2,4,2,1,UC-CB46,51,2071.1
120,UmbeluziIrrigado,3,2,4,1,8,INIA-41,68,3475.6
121,UmbeluziIrrigado,3,3,1,1,2,IT69KD-901,20,2693.3
122,UmbeluziIrrigado,3,3,1,2,11,IT98K-1111-1,42,1324.4
123,UmbeluziIrrigado,3,3,1,3,4,UC-CB27,39,1431.1
124,UmbeluziIrrigado,3,3,2,3,3,INIA-73,41,1511.1
125,UmbeluziIrrigado,3,3,2,2,10,IT-16,53,1724.4
126,UmbeluziIrrigado,3,3,2,1,6,IT98K-1105-5,58,2160
127,UmbeluziIrrigado,3,3,3,1,7,IT00K-96,17,311.1
128,UmbeluziIrrigado,3,3,3,2,9,IT97K-284-4,27,915.6
129,UmbeluziIrrigado,3,3,3,3,12,INIA-152,55,2213.3
130,UmbeluziIrrigado,3,3,4,3,8,INIA-41,36,1484.4
131,UmbeluziIrrigado,3,3,4,2,1,UC-CB46,50,1857.8
132,UmbeluziIrrigado,3,3,4,1,5,IT-18,40,711.1
133,UmbeluziIrrigado,3,4,1,1,5,IT-18,43,711.1
134,UmbeluziIrrigado,3,4,1,2,9,IT97K-284-4,28,400
135,UmbeluziIrrigado,3,4,1,3,4,UC-CB27,36,995.6
136,UmbeluziIrrigado,3,4,2,3,3,INIA-73,37,595.6
137,UmbeluziIrrigado,3,4,2,2,7,IT00K-96,13,328.9
138,UmbeluziIrrigado,3,4,2,1,10,IT-16,71,871.1
139,UmbeluziIrrigado,3,4,3,1,12,INIA-152,70,1351.1
140,UmbeluziIrrigado,3,4,3,2,2,IT69KD-901,20,222.2
141,UmbeluziIrrigado,3,4,3,3,6,IT98K-1105-5,47,977.8
142,UmbeluziIrrigado,3,4,4,3,8,INIA-41,47,942.2
143,UmbeluziIrrigado,3,4,4,2,1,UC-CB46,50,1146.7
144,UmbeluziIrrigado,3,4,4,1,11,IT98K-1111-1,50,880
145,UmbeluziStressado,4,1,1,1,5,IT-18,42,1573.3
146,UmbeluziStressado,4,1,1,2,4,UC-CB27,45,888.9
147,UmbeluziStressado,4,1,1,3,9,IT97K-284-4,25,702.2
148,UmbeluziStressado,4,1,2,3,8,INIA-41,54,1760
149,UmbeluziStressado,4,1,2,2,12,INIA-152,53,2302.2
150,UmbeluziStressado,4,1,2,1,7,IT00K-96,15,631.1
151,UmbeluziStressado,4,1,3,1,11,IT98K-1111-1,53,1475.6
152,UmbeluziStressado,4,1,3,2,10,IT-16,51,1795.6
153,UmbeluziStressado,4,1,3,3,1,UC-CB46,50,1653.3
154,UmbeluziStressado,4,1,4,3,2,IT69KD-901,17,488.9
155,UmbeluziStressado,4,1,4,2,6,IT98K-1105-5,58,2177.8
156,UmbeluziStressado,4,1,4,1,3,INIA-73,46,1155.6
157,UmbeluziStressado,4,2,1,1,6,IT98K-1105-5,65,2373.3
158,UmbeluziStressado,4,2,1,2,10,IT-16,54,1191.1
159,UmbeluziStressado,4,2,1,3,1,UC-CB46,59,2062.2
160,UmbeluziStressado,4,2,2,3,9,IT97K-284-4,31,960
161,UmbeluziStressado,4,2,2,2,2,IT69KD-901,14,337.8
162,UmbeluziStressado,4,2,2,1,11,IT98K-1111-1,50,1777.8
163,UmbeluziStressado,4,2,3,1,7,IT00K-96,18,1040
164,UmbeluziStressado,4,2,3,2,4,UC-CB27,49,1386.7
165,UmbeluziStressado,4,2,3,3,3,INIA-73,38,1404.4
166,UmbeluziStressado,4,2,4,3,5,IT-18,48,1742.2
167,UmbeluziStressado,4,2,4,2,8,INIA-41,51,2328.9
168,UmbeluziStressado,4,2,4,1,12,INIA-152,61,2906.7
169,UmbeluziStressado,4,3,1,1,6,IT98K-1105-5,67,2568.9
170,UmbeluziStressado,4,3,1,2,11,IT98K-1111-1,38,1235.6
171,UmbeluziStressado,4,3,1,3,4,UC-CB27,51,1680
172,UmbeluziStressado,4,3,2,3,7,IT00K-96,22,666.7
173,UmbeluziStressado,4,3,2,2,1,UC-CB46,39,1475.6
174,UmbeluziStressado,4,3,2,1,12,INIA-152,67,2266.7
175,UmbeluziStressado,4,3,3,1,5,IT-18,44,1377.8
176,UmbeluziStressado,4,3,3,2,8,INIA-41,49,1528.9
177,UmbeluziStressado,4,3,3,3,2,IT69KD-901,20,1075.6
178,UmbeluziStressado,4,3,4,3,10,IT-16,62,1688.9
179,UmbeluziStressado,4,3,4,2,3,INIA-73,45,1226.7
180,UmbeluziStressado,4,3,4,1,9,IT97K-284-4,50,1262.2
181,UmbeluziStressado,4,4,1,1,12,INIA-152,70,2142.2
182,UmbeluziStressado,4,4,1,2,2,IT69KD-901,19,515.6
183,UmbeluziStressado,4,4,1,3,1,UC-CB46,59,1733.3
184,UmbeluziStressado,4,4,2,3,8,INIA-41,57,1733.3
185,UmbeluziStressado,4,4,2,2,6,IT98K-1105-5,44,1484.4
186,UmbeluziStressado,4,4,2,1,5,IT-18,44,1084.4
187,UmbeluziStressado,4,4,3,1,7,IT00K-96,15,266.7
188,UmbeluziStressado,4,4,3,2,10,IT-16,43,1022.2
189,UmbeluziStressado,4,4,3,3,4,UC-CB27,53,1413.3
190,UmbeluziStressado,4,4,4,3,9,IT97K-284-4,30,337.8
191,UmbeluziStressado,4,4,4,2,11,IT98K-1111-1,36,800
192,UmbeluziStressado,4,4,4,1,3,INIA-73,49,1644.4
193,Nhacoongo,5,1,1,1,2,IT69KD-901,44,711.1
194,Nhacoongo,5,1,1,2,10,IT-16,51,631.1
195,Nhacoongo,5,1,1,3,1,UC-CB46,49,1244.4
196,Nhacoongo,5,1,2,3,8,INIA-41,18,373.3
197,Nhacoongo,5,1,2,2,5,IT-18,67,897.8
198,Nhacoongo,5,1,2,1,11,IT98K-1111-1,41,1022.2
199,Nhacoongo,5,1,3,1,7,IT00K-96,48,933.3
200,Nhacoongo,5,1,3,2,4,UC-CB27,17,355.6
201,Nhacoongo,5,1,3,3,12,INIA-152,68,933.3
202,Nhacoongo,5,1,4,3,9,IT97K-284-4,47,924.4
203,Nhacoongo,5,1,4,2,6,IT98K-1105-5,43,1333.3
204,Nhacoongo,5,1,4,1,3,INIA-73,43,933.3
205,Nhacoongo,5,2,1,1,1,UC-CB46,60,1244.4
206,Nhacoongo,5,2,1,2,12,INIA-152,71,808.9
207,Nhacoongo,5,2,1,3,11,IT98K-1111-1,40,640
208,Nhacoongo,5,2,2,3,8,INIA-41,31,577.8
209,Nhacoongo,5,2,2,2,4,UC-CB27,10,275.6
210,Nhacoongo,5,2,2,1,2,IT69KD-901,44,488.9
211,Nhacoongo,5,2,3,1,6,IT98K-1105-5,58,1342.2
212,Nhacoongo,5,2,3,2,9,IT97K-284-4,45,1128.9
213,Nhacoongo,5,2,3,3,10,IT-16,56,720
214,Nhacoongo,5,2,4,3,3,INIA-73,62,1066.7
215,Nhacoongo,5,2,4,2,5,IT-18,63,1146.7
216,Nhacoongo,5,2,4,1,7,IT00K-96,58,1040
217,Nhacoongo,5,3,1,1,6,IT98K-1105-5,45,1244.4
218,Nhacoongo,5,3,1,2,7,IT00K-96,44,1013.3
219,Nhacoongo,5,3,1,3,10,IT-16,60,1075.6
220,Nhacoongo,5,3,2,3,9,IT97K-284-4,57,1262.2
221,Nhacoongo,5,3,2,2,12,INIA-152,65,968.9
222,Nhacoongo,5,3,2,1,3,INIA-73,35,808.9
223,Nhacoongo,5,3,3,1,5,IT-18,62,1155.6
224,Nhacoongo,5,3,3,2,1,UC-CB46,44,1093.3
225,Nhacoongo,5,3,3,3,11,IT98K-1111-1,40,1013.3
226,Nhacoongo,5,3,4,3,8,INIA-41,23,1128.9
227,Nhacoongo,5,3,4,2,4,UC-CB27,30,604.4
228,Nhacoongo,5,3,4,1,2,IT69KD-901,36,515.6
229,Nhacoongo,5,4,1,1,9,IT97K-284-4,44,1164.4
230,Nhacoongo,5,4,1,2,1,UC-CB46,46,1333.3
231,Nhacoongo,5,4,1,3,6,IT98K-1105-5,54,1564.4
232,Nhacoongo,5,4,2,3,4,UC-CB27,35,853.3
233,Nhacoongo,5,4,2,2,8,INIA-41,19,684.4
234,Nhacoongo,5,4,2,1,11,IT98K-1111-1,21,1128.9
235,Nhacoongo,5,4,3,1,2,IT69KD-901,30,337.8
236,Nhacoongo,5,4,3,2,7,IT00K-96,35,1075.6
237,Nhacoongo,5,4,3,3,5,IT-18,57,1475.6
238,Nhacoongo,5,4,4,3,12,INIA-152,71,1431.1
239,Nhacoongo,5,4,4,2,10,IT-16,45,1395.6
240,Nhacoongo,5,4,4,1,3,INIA-73,39,1511.1
241,Macia_Machava,6,1,1,1,2,IT69KD-901,18,586.7
242,Macia_Machava,6,1,1,2,10,IT-16,32,933.3
243,Macia_Machava,6,1,1,3,1,UC-CB46,27,1333.3
244,Macia_Machava,6,1,2,3,8,INIA-41,29,1533.3
245,Macia_Machava,6,1,2,2,5,IT-18,30,1373.3
246,Macia_Machava,6,1,2,1,11,IT98K-1111-1,30,1373.3
247,Macia_Machava,6,1,3,1,7,IT00K-96,26,1466.7
248,Macia_Machava,6,1,3,2,4,UC-CB27,31,1293.3
249,Macia_Machava,6,1,3,3,12,INIA-152,30,1600
250,Macia_Machava,6,1,4,3,9,IT97K-284-4,25,1426.7
251,Macia_Machava,6,1,4,2,6,IT98K-1105-5,29,1240
252,Macia_Machava,6,1,4,1,3,INIA-73,30,986.7
253,Macia_Machava,6,2,1,1,1,UC-CB46,30,1320
254,Macia_Machava,6,2,1,2,12,INIA-152,32,1333.3
255,Macia_Machava,6,2,1,3,11,IT98K-1111-1,29,800
256,Macia_Machava,6,2,2,3,8,INIA-41,29,1626.7
257,Macia_Machava,6,2,2,2,4,UC-CB27,31,1306.7
258,Macia_Machava,6,2,2,1,2,IT69KD-901,15,413.3
259,Macia_Machava,6,2,3,1,6,IT98K-1105-5,25,1066.7
260,Macia_Machava,6,2,3,2,9,IT97K-284-4,34,960
261,Macia_Machava,6,2,3,3,10,IT-16,20,933.3
262,Macia_Machava,6,2,4,3,3,INIA-73,28,840
263,Macia_Machava,6,2,4,2,5,IT-18,25,1186.7
264,Macia_Machava,6,2,4,1,7,IT00K-96,25,1080
265,Macia_Machava,6,3,1,1,6,IT98K-1105-5,31,1280
266,Macia_Machava,6,3,1,2,7,IT00K-96,30,973.3
267,Macia_Machava,6,3,1,3,10,IT-16,27,893.3
268,Macia_Machava,6,3,2,3,9,IT97K-284-4,5,200
269,Macia_Machava,6,3,2,2,12,INIA-152,33,866.7
270,Macia_Machava,6,3,2,1,3,INIA-73,33,1186.7
271,Macia_Machava,6,3,3,1,5,IT-18,26,1200
272,Macia_Machava,6,3,3,2,1,UC-CB46,31,1306.7
273,Macia_Machava,6,3,3,3,11,IT98K-1111-1,27,1106.7
274,Macia_Machava,6,3,4,3,8,INIA-41,28,1800
275,Macia_Machava,6,3,4,2,4,UC-CB27,25,1240
276,Macia_Machava,6,3,4,1,2,IT69KD-901,24,1160
277,Macia_Machava,6,4,1,1,9,IT97K-284-4,4,160
278,Macia_Machava,6,4,1,2,1,UC-CB46,20,933.3
279,Macia_Machava,6,4,1,3,6,IT98K-1105-5,18,800
280,Macia_Machava,6,4,2,3,4,UC-CB27,18,800
281,Macia_Machava,6,4,2,2,8,INIA-41,31,1600
282,Macia_Machava,6,4,2,1,11,IT98K-1111-1,28,1200
283,Macia_Machava,6,4,3,1,2,IT69KD-901,21,640
284,Macia_Machava,6,4,3,2,7,IT00K-96,23,560
285,Macia_Machava,6,4,3,3,5,IT-18,26,1040
286,Macia_Machava,6,4,4,3,12,INIA-152,29,1240
287,Macia_Machava,6,4,4,2,10,IT-16,30,906.7
288,Macia_Machava,6,4,4,1,3,INIA-73,18,453.3
289,Macia_Adelino,7,1,1,1,2,IT69KD-901,13,346.7
290,Macia_Adelino,7,1,1,2,10,IT-16,30,920
291,Macia_Adelino,7,1,1,3,1,UC-CB46,29,1320
292,Macia_Adelino,7,1,2,3,8,INIA-41,30,1213.3
293,Macia_Adelino,7,1,2,2,5,IT-18,29,1200
294,Macia_Adelino,7,1,2,1,11,IT98K-1111-1,20,573.3
295,Macia_Adelino,7,1,3,1,7,IT00K-96,13,386.7
296,Macia_Adelino,7,1,3,2,4,UC-CB27,31,1226.7
297,Macia_Adelino,7,1,3,3,12,INIA-152,32,1280
298,Macia_Adelino,7,1,4,3,9,IT97K-284-4,19,866.7
299,Macia_Adelino,7,1,4,2,6,IT98K-1105-5,26,1093.3
300,Macia_Adelino,7,1,4,1,3,INIA-73,24,973.3
301,Macia_Adelino,7,2,2,1,1,UC-CB46,29,1080
302,Macia_Adelino,7,2,1,2,12,INIA-152,28,1346.7
303,Macia_Adelino,7,2,1,3,11,IT98K-1111-1,21,733.3
304,Macia_Adelino,7,2,2,3,8,INIA-41,30,1893.3
305,Macia_Adelino,7,2,2,2,4,UC-CB27,23,973.3
306,Macia_Adelino,7,2,2,1,2,IT69KD-901,6,160
307,Macia_Adelino,7,2,3,1,6,IT98K-1105-5,30,1146.7
308,Macia_Adelino,7,2,3,2,9,IT97K-284-4,13,480
309,Macia_Adelino,7,2,3,3,10,IT-16,29,813.3
310,Macia_Adelino,7,2,4,3,3,INIA-73,25,1080
311,Macia_Adelino,7,2,4,2,5,IT-18,25,760
312,Macia_Adelino,7,2,4,1,7,IT00K-96,19,893.3
313,Macia_Adelino,7,3,1,1,6,IT98K-1105-5,23,946.7
314,Macia_Adelino,7,3,1,2,7,IT00K-96,26,973.3
315,Macia_Adelino,7,3,1,3,10,IT-16,29,1000
316,Macia_Adelino,7,3,2,3,9,IT97K-284-4,21,920
317,Macia_Adelino,7,3,2,2,12,INIA-152,25,1133.3
318,Macia_Adelino,7,3,2,1,3,INIA-73,28,1053.3
319,Macia_Adelino,7,3,3,1,5,IT-18,26,1013.3
320,Macia_Adelino,7,3,3,2,1,UC-CB46,21,1026.7
321,Macia_Adelino,7,3,3,3,11,IT98K-1111-1,24,706.7
322,Macia_Adelino,7,3,4,3,8,INIA-41,25,1293.3
323,Macia_Adelino,7,3,4,2,4,UC-CB27,23,813.3
324,Macia_Adelino,7,3,4,1,2,IT69KD-901,25,1200
325,Macia_Adelino,7,4,1,1,1,UC-CB46,26,1226.7
326,Macia_Adelino,7,4,1,2,2,IT69KD-901,15,568.9
327,Macia_Adelino,7,4,1,3,3,INIA-73,26,1035.6
328,Macia_Adelino,7,4,2,3,4,UC-CB27,26,1004.4
329,Macia_Adelino,7,4,2,2,5,IT-18,27,991.1
330,Macia_Adelino,7,4,2,1,6,IT98K-1105-5,26,1062.2
331,Macia_Adelino,7,4,3,1,7,IT00K-96,19,751.1
332,Macia_Adelino,7,4,3,2,8,INIA-41,28,1466.7
333,Macia_Adelino,7,4,3,3,9,IT97K-284-4,18,755.6
334,Macia_Adelino,7,4,4,3,10,IT-16,29,911.1
335,Macia_Adelino,7,4,4,2,11,IT98K-1111-1,22,671.1
336,Macia_Adelino,7,4,4,1,12,INIA-152,28,1253.3
